epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5691,1.23228,2.37066,2.65995,1.12732,0.92957,1,0.98952,0.74236,0.90671,0.97541,0.9704,0.49905,0.79101,1.06826,1.84361,0.90212,0.000653846,0.000653846,0.000653846
2,50.1277,0.84721,1.22406,0.74415,0.94541,0.95583,0.95902,0.98302,0.75415,0.94766,0.95082,0.97464,0.47686,0.82041,0.97251,0.84106,0.9907,0.00130744,0.00130744,0.00130744
3,75.0087,0.88206,1.22915,0.67331,0.96029,0.87711,0.67213,0.75837,0.55745,0.9203,0.66393,0.74173,0.28243,1.03152,1.35616,1.11253,1.21317,0.00194783,0.00194783,0.00194783
4,100.043,0.84403,1.0877,0.63478,0.94668,0.9771,0.98361,0.98698,0.75971,0.9771,0.98361,0.98698,0.56024,0.86118,0.91329,0.84613,1.03403,0.0019406,0.0019406,0.0019406
5,125.027,0.80012,1.04538,0.56438,0.93403,0.97274,0.9918,0.98898,0.78805,0.97274,0.9918,0.98898,0.58538,0.81646,0.83736,0.53016,0.9649,0.0019208,0.0019208,0.0019208
6,150.381,0.79585,1.04281,0.55546,0.93532,0.95714,0.9918,0.98043,0.81596,0.95714,0.9918,0.98043,0.68432,0.7354,0.84168,0.48554,0.91293,0.001901,0.001901,0.001901
7,175.633,0.7718,1.03309,0.5351,0.93325,0.97596,0.99845,0.98328,0.8275,0.96795,0.99025,0.97739,0.51489,0.63599,0.82759,0.52029,0.8986,0.0018812,0.0018812,0.0018812
8,200.951,0.71099,0.99853,0.49127,0.90526,0.96857,0.98361,0.98419,0.85283,0.96857,0.98361,0.98419,0.53645,0.61159,0.83841,0.44208,0.89504,0.0018614,0.0018614,0.0018614
9,225.919,0.68868,1.01538,0.48927,0.90168,0.97798,0.9918,0.99097,0.86496,0.97798,0.9918,0.99097,0.58395,0.57381,0.88203,0.52182,0.8704,0.0018416,0.0018416,0.0018416
10,250.989,0.68408,1.00222,0.48269,0.89834,0.98207,1,0.99484,0.87203,0.98207,1,0.99484,0.67119,0.56273,0.794,0.37239,0.87863,0.0018218,0.0018218,0.0018218
11,276.374,0.67052,0.95459,0.47261,0.89842,0.97485,0.9918,0.995,0.83342,0.96679,0.98361,0.98956,0.52439,0.58675,0.75906,0.4976,0.87746,0.001802,0.001802,0.001802
12,301.332,0.66324,0.97455,0.4554,0.8957,0.98386,0.99925,0.99281,0.86845,0.98386,0.99925,0.99281,0.58188,0.5501,0.85597,0.39542,0.86213,0.0017822,0.0017822,0.0017822
13,326.364,0.65738,0.93991,0.44395,0.88412,0.98253,1,0.98941,0.89546,0.98253,1,0.98941,0.63418,0.47838,0.77871,0.33228,0.85202,0.0017624,0.0017624,0.0017624
14,351.492,0.63479,0.93524,0.4341,0.88104,0.98121,1,0.9929,0.86481,0.98121,1,0.9929,0.59845,0.57264,0.82803,0.37976,0.87888,0.0017426,0.0017426,0.0017426
15,376.536,0.62373,0.90572,0.41584,0.88559,0.98282,1,0.99402,0.85978,0.98282,1,0.99402,0.60822,0.575,0.74024,0.37811,0.863,0.0017228,0.0017228,0.0017228
16,401.517,0.61581,0.91474,0.41219,0.87159,0.98318,1,0.99205,0.88744,0.98318,1,0.99205,0.59721,0.49663,0.7333,0.33696,0.84328,0.001703,0.001703,0.001703
17,426.87,0.59548,0.90733,0.40664,0.8703,0.98138,1,0.99086,0.87932,0.98138,1,0.99086,0.65672,0.50579,0.75512,0.34681,0.84437,0.0016832,0.0016832,0.0016832
18,451.866,0.61057,0.91965,0.40369,0.87634,0.98349,1,0.99225,0.89735,0.98349,1,0.99225,0.65706,0.49654,0.76491,0.32229,0.86504,0.0016634,0.0016634,0.0016634
19,477.047,0.59831,0.92661,0.40012,0.8752,0.98337,1,0.98604,0.89131,0.97531,0.9918,0.97722,0.57976,0.48583,0.75796,0.32019,0.84474,0.0016436,0.0016436,0.0016436
20,501.992,0.58535,0.87077,0.3823,0.86573,0.98333,1,0.99476,0.91281,0.98333,1,0.99476,0.63398,0.44672,0.73721,0.29637,0.83577,0.0016238,0.0016238,0.0016238
21,527.078,0.57571,0.88749,0.37664,0.86093,0.97679,1,0.99402,0.90855,0.97679,1,0.99402,0.62647,0.44942,0.72719,0.30892,0.84115,0.001604,0.001604,0.001604
22,552.191,0.57549,0.8779,0.38547,0.86658,0.98304,1,0.99459,0.90071,0.98304,1,0.99459,0.59693,0.48665,0.74065,0.30336,0.84074,0.0015842,0.0015842,0.0015842
23,577.376,0.57027,0.88258,0.39223,0.8675,0.98279,1,0.99103,0.89738,0.98279,1,0.99103,0.67049,0.48397,0.73993,0.31664,0.85939,0.0015644,0.0015644,0.0015644
24,602.518,0.56849,0.88777,0.37759,0.86719,0.98337,1,0.99009,0.91115,0.98337,1,0.99009,0.65249,0.43715,0.73851,0.28942,0.83589,0.0015446,0.0015446,0.0015446
25,627.634,0.56669,0.86031,0.36428,0.86351,0.98338,1,0.995,0.92156,0.98338,1,0.995,0.61326,0.43038,0.7533,0.29573,0.82857,0.0015248,0.0015248,0.0015248
26,652.884,0.55734,0.85306,0.36491,0.86671,0.98338,1,0.99346,0.91549,0.98338,1,0.99346,0.67044,0.42332,0.70333,0.29672,0.83241,0.001505,0.001505,0.001505
27,678.169,0.54596,0.85555,0.3657,0.86025,0.98336,1,0.995,0.91788,0.98336,1,0.995,0.63033,0.44263,0.72413,0.30749,0.83665,0.0014852,0.0014852,0.0014852
28,703.579,0.54702,0.85382,0.35782,0.85779,0.98333,1,0.99484,0.92965,0.98333,1,0.99484,0.62323,0.40243,0.6815,0.28156,0.82773,0.0014654,0.0014654,0.0014654
29,728.48,0.53385,0.84279,0.34869,0.85533,0.98297,1,0.99319,0.92972,0.98297,1,0.99319,0.64801,0.41363,0.67444,0.28175,0.82675,0.0014456,0.0014456,0.0014456
30,753.479,0.5414,0.8194,0.3569,0.85177,0.98372,1,0.995,0.91352,0.97566,0.9918,0.99049,0.62694,0.47364,0.69636,0.29132,0.82739,0.0014258,0.0014258,0.0014258
31,778.56,0.52881,0.83976,0.34229,0.85352,0.98303,1,0.99435,0.91791,0.98303,1,0.99435,0.68384,0.3992,0.72819,0.2527,0.82728,0.001406,0.001406,0.001406
32,803.748,0.53469,0.83516,0.34653,0.85277,0.98324,1,0.99484,0.90516,0.98324,1,0.99484,0.6435,0.48612,0.68963,0.27979,0.83966,0.0013862,0.0013862,0.0013862
33,828.73,0.54946,0.84696,0.35295,0.85591,0.98334,1,0.99492,0.93133,0.98334,1,0.99492,0.65148,0.40347,0.69399,0.27995,0.82813,0.0013664,0.0013664,0.0013664
34,853.765,0.52952,0.83338,0.34336,0.85465,0.983,1,0.99323,0.92383,0.983,1,0.99323,0.64936,0.41328,0.7112,0.27365,0.83442,0.0013466,0.0013466,0.0013466
35,879.315,0.5256,0.83396,0.33793,0.85498,0.9834,1,0.99118,0.91294,0.9834,1,0.99118,0.67693,0.46531,0.70149,0.28203,0.83775,0.0013268,0.0013268,0.0013268
36,904.317,0.53645,0.81265,0.3361,0.85288,0.98277,1,0.99443,0.92042,0.98277,1,0.99443,0.65138,0.44487,0.70128,0.27345,0.8362,0.001307,0.001307,0.001307
37,929.408,0.52033,0.85853,0.33319,0.85517,0.9834,1,0.99184,0.92006,0.9834,1,0.99184,0.63945,0.41059,0.6643,0.26452,0.82328,0.0012872,0.0012872,0.0012872
38,954.489,0.50047,0.82399,0.32823,0.84551,0.98318,1,0.99376,0.92968,0.98318,1,0.99376,0.65864,0.38548,0.68732,0.25444,0.81806,0.0012674,0.0012674,0.0012674
39,979.466,0.49783,0.79888,0.3268,0.84835,0.98331,1,0.99459,0.92543,0.98331,1,0.99459,0.66951,0.40578,0.6815,0.26842,0.82551,0.0012476,0.0012476,0.0012476
40,1004.48,0.50566,0.83137,0.32757,0.84175,0.9833,1,0.995,0.91898,0.9833,1,0.995,0.65039,0.4645,0.7182,0.28115,0.83008,0.0012278,0.0012278,0.0012278
41,1029.48,0.50789,0.81426,0.32728,0.8545,0.98336,1,0.99467,0.91996,0.98336,1,0.99467,0.69859,0.42271,0.67707,0.26224,0.82932,0.001208,0.001208,0.001208
42,1055.23,0.48874,0.78393,0.31584,0.85189,0.98327,1,0.99484,0.9269,0.98327,1,0.99484,0.70293,0.40228,0.69689,0.25472,0.82084,0.0011882,0.0011882,0.0011882
