                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8738,                   2.78,                 2.8243,                0.03724,                0.16129,                0.04054,                0.01741,                0.74422,                 3.0281,                 1.5686,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.3025,                 2.2731,                 2.2455,                0.69638,                0.74194,                0.78087,                0.67314,                0.52061,                 1.8695,                 1.1795,             0.00017822,             0.00017822,             0.00017822
                      3,                0.89726,                 1.4434,                 1.7706,                0.84418,                0.96774,                0.98052,                0.89207,                0.40162,                 1.4852,                 1.0196,             0.00027446,             0.00027446,             0.00027446
                      4,                0.77143,                 1.0155,                 1.6004,                0.78999,                      1,                0.97988,                0.89952,                0.38206,                 1.7021,                 1.0221,             0.00036871,             0.00036871,             0.00036871
                      5,                0.73725,                0.82497,                 1.5383,                0.76272,                      1,                0.98614,                0.92399,                0.37047,                 1.7898,                0.97038,             0.00046099,             0.00046099,             0.00046099
                      6,                0.68272,                0.80819,                 1.4974,                 0.7734,                      1,                0.98906,                0.92386,                0.35439,                 1.4124,                0.96674,             0.00055129,             0.00055129,             0.00055129
                      7,                0.65878,                0.72781,                  1.469,                0.79663,                      1,                 0.9738,                0.89942,                0.38447,                  1.451,                 1.0007,             0.00063961,             0.00063961,             0.00063961
                      8,                 0.6517,                0.74584,                 1.4706,                0.84816,                      1,                0.98594,                0.90637,                0.35471,                0.98304,                0.96749,             0.00072595,             0.00072595,             0.00072595
                      9,                0.67738,                0.74639,                 1.5625,                0.87872,                      1,                  0.995,                0.90068,                0.45245,                0.89253,                 1.0479,              0.0008103,              0.0008103,              0.0008103
                     10,                 0.6927,                0.73317,                  1.603,                 0.8971,                      1,                  0.995,                0.92441,                0.34301,                0.83453,                0.94319,             0.00089268,             0.00089268,             0.00089268
