epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1141,0.35456,0.08284,0.03596,0.23551,0.84355,0.99978,1,0.995,0.94999,0.99978,1,0.995,0.995,0.32392,0.03111,0.02887,0.18284,0.778,0.000660969,0.000660969,0.000660969
2,26.2506,0.39075,0.13031,0.04824,0.26363,0.85856,0.99964,1,0.995,0.93926,0.99964,1,0.995,0.99483,0.35856,0.04903,0.00321,0.2079,0.7824,0.00132106,0.00132106,0.00132106
3,39.0471,0.42758,0.25224,0.06746,0.29482,0.8621,0.95936,0.92135,0.97335,0.8563,0.95327,0.91687,0.97513,0.85636,0.5252,0.70648,0.13546,0.40121,0.90569,0.00197456,0.00197456,0.00197456
4,51.8469,0.42798,0.24523,0.07558,0.29614,0.86946,0.99978,1,0.995,0.93759,0.99978,1,0.995,0.99482,0.38147,0.06857,0.0048,0.22987,0.80186,0.0019703,0.0019703,0.0019703
5,64.7494,0.4565,0.29356,0.0686,0.31798,0.87876,0.99639,1,0.995,0.9168,0.99639,1,0.995,0.99359,0.42512,0.09785,0.02536,0.26317,0.81346,0.0019604,0.0019604,0.0019604
6,77.5722,0.44702,0.30654,0.08101,0.30965,0.87318,0.99978,1,0.995,0.93358,0.99978,1,0.995,0.995,0.36429,0.06596,0.00508,0.21476,0.79764,0.0019505,0.0019505,0.0019505
7,90.7099,0.44627,0.25687,0.06847,0.31073,0.87305,0.99831,1,0.995,0.93408,0.99831,1,0.995,0.99497,0.36301,0.07758,0.00657,0.22454,0.79193,0.0019406,0.0019406,0.0019406
8,103.636,0.44485,0.2216,0.0725,0.3024,0.87385,0.99982,1,0.995,0.94017,0.99982,1,0.995,0.99485,0.35281,0.05074,0.00532,0.22377,0.79124,0.0019307,0.0019307,0.0019307
9,116.717,0.44354,0.18114,0.05871,0.31266,0.87288,0.99914,1,0.995,0.93112,0.99914,1,0.995,0.99477,0.36414,0.05228,0.00708,0.23801,0.79236,0.0019208,0.0019208,0.0019208
10,129.816,0.43973,0.18294,0.06113,0.31134,0.86887,0.99948,1,0.995,0.92575,0.99948,1,0.995,0.995,0.38256,0.05237,0.00706,0.22954,0.79773,0.0019109,0.0019109,0.0019109
